# Messungs_ID Temperature[K] Phase[degree] T1[s] T1_err Beta Beta_err M0 M0_err Moff Moff_err
1419 434.63 23.161979579866216 1.2270737155113382e-05 8.594871733548056e-06 0.5493721617358269 0.1790836818583008 226.44752945391687 82.00884144639251 236.45992257305772 81.13519499856282
1422 430.28 25.524768072290957 1.643871316286759e-05 5.410217130851706e-06 0.8647978947360323 0.26526306571719155 100.34354754854054 24.490183395727627 193.0797019326452 24.193339969120142
1425 425.53 26.19975467447939 1.9442402095124505e-05 3.5648542195611725e-06 1.0 0 47.284097541085984 5.124567417341745 117.16511534534573 5.3482091761571
1428 420.75 27.627043605309172 1.2231620556823533e-06 9.503577804464362e-06 0.37378600813214435 0.5886091711991843 126.23008558827907 455.24101845754706 -39.73968972974887 454.6252730345853
1431 415.92 28.08847090570821 1.9950990548885717e-05 8.860339413825196e-06 1.0 0 17.25752679730847 4.254983843845669 32.58002057928765 4.4350386090321505
1434 411.14 25.7942155623279 3.6742502796735465e-06 1.9554733540918737e-06 1.0 0 56.76965054680217 44.75477643771091 -26.68285785605846 44.97033583028473
1437 406.34 30.30134827104391 6.55658070471488e-06 5.916477773672875e-06 1.0 0 22.835471966239698 21.557187721445928 4.776271078530697 21.89832449366947
1440 401.48 37.23333440765817 9.928509067824279e-06 3.4301448605866822e-06 1.0 0 35.618164056623854 9.116888599264193 6.186133338120771 9.35110963725162
1443 396.76 47.41732457677498 1.5284962784900752e-05 7.284494945757312e-06 1.0036124145580623 0.5172723591578006 34.341338247444085 13.594556283968432 30.887664867188807 13.380731220728794
1446 392.0 48.79043745790772 1.9470818088827155e-05 5.402119266397562e-06 0.9338376026587213 0.26980872392573463 61.55792031578378 13.385723313154397 55.54555140301566 13.173769652463054
1449 387.23 53.57266683813124 2.5880472731475103e-05 1.706910490420805e-06 1.204844639669736 0.13073565406145624 109.93527062880793 6.321166081682267 99.39427962160104 6.17065398175376
1452 382.43 55.63179459144235 2.5537622676486845e-05 1.3878581130051513e-06 0.8388672730757246 0.04649985419905674 243.44600334993135 8.988463167700585 111.00313455716618 8.762323602146258
1455 377.75 57.43197071517926 3.183568644167101e-05 1.7623906582119489e-06 0.7579039872277255 0.03913184757750847 401.5822401539214 14.10106025482424 117.72207955266731 13.466776837470656
1458 377.49 76.75785641737527 3.368760773838033e-05 1.4293320752447947e-06 0.8157619199202288 0.03552294222480337 383.57173176333475 11.200216234167884 140.1831785634527 10.820072044319998
1461 372.86 79.7794632389924 4.738307913954943e-05 9.007482632913484e-07 0.844821741018825 0.018824422429753906 451.98469740248106 5.517926906164881 145.63407245006846 5.233714971623431
1464 368.07 80.68500592835828 6.63879799959003e-05 1.522285202845262e-06 0.8767727734867512 0.026718594749188897 348.33063783421005 5.017890149924998 106.74316283163 4.677863581152856
1467 363.32 79.31893882397956 9.292727855962843e-05 3.1419351818911515e-06 0.8309898002669457 0.03536218827989885 197.45041911519877 3.9784533513958737 47.210285192788284 3.6915864671453162
1470 358.47 80.43000915145912 0.0001516164124831345 5.881545267759397e-06 0.8354299520153089 0.04169529976240462 160.3848669925624 3.3350399793729486 22.363466901987426 2.9562172504490696
